index_code,expected_period,effective_date,symbol,universe_mode,qualification_scope
931152,2019-12,2019-12-16,603456,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,000513,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,000661,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,000963,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002019,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002020,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002038,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002294,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002317,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002399,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002422,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002653,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002675,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002773,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002793,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002821,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300003,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300009,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300122,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300142,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300149,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300238,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300347,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300357,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300404,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300558,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300601,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300725,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300759,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600079,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600196,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600216,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600267,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600276,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600380,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600535,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600673,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600812,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600867,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,601607,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,603127,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,603259,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,603456,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,603858,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,000513,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,000661,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,000963,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002007,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002019,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002020,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002038,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002294,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002317,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002399,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002422,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002653,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002675,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002773,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002793,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002821,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300003,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300009,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300122,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300142,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300149,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300199,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300238,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300347,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300357,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300404,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300558,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300601,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300725,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300759,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600079,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600196,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600216,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600267,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600276,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600380,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600535,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600673,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600812,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600867,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,603127,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,603259,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,603456,point_in_time,historical_design_research_input_only
